configuracao,arquitetura,learning_rate,val_accuracy,test_accuracy,test_loss
MLP 128-64,784-128-64-10,0.1,0.9716,0.9667,0.1085766201115013
MLP 64-32,784-64-32-10,0.05,0.9568,0.9454,0.18683290107716707
